XCoord,YCoord,FID,REQUESTID,REQCAT,DESC,DATEINIT,STATUS,DATECLOSED,CANCEL,PROBCODE,SHOP,TILENO,DOMAINID,SRX,SRY
-84.59592722,42.68514591,78,112674,SEWER,SEW-WTR IN BSMNT,2017-08-16 00:00:00,CLOSED,2017-08-17 00:00:00,N,SEW-WTR IN BSMNT,LG-31,3,2,13061721.670000,431979.650000
-84.55098000,42.75257900,79,112693,SEWER,DRAINAGE PROBLEM,2017-08-17 00:00:00,CLOSED,2017-08-21 00:00:00,N,DRAINAGE PROBLEM,LG-09,4,2,13073859.999000,456524.354000
-84.55327250,42.72016650,80,112705,SEWER,CAVE IN,2017-08-18 00:00:00,CLOSED,2017-08-23 00:00:00,N,CAVE IN,LG-21,1,2,13073218.124000,444713.721000
-84.54708943,42.69879417,81,112728,SEWER,PLUGGED CB-CLVRT,2017-08-21 00:00:00,CLOSED,2017-08-30 00:00:00,N,PLUGGED CB-CLVRT,LG-28,2,2,13074862.880000,436921.470000
-84.57450011,42.76256906,82,112781,SEWER,DRAINAGE PROBLEM,2017-08-25 00:00:00,CLOSED,2017-08-28 00:00:00,N,DRAINAGE PROBLEM,LG-05,4,2,13067552.220000,460179.720000
-84.54487909,42.70535017,83,112783,SEWER,CAVE IN,2017-08-25 00:00:00,CLOSED,2017-09-08 00:00:00,N,CAVE IN,LG-28,2,2,13075462.080000,439309.380000
-84.52739702,42.73094200,84,112790,SEWER,SEWER ODOR,2017-08-27 00:00:00,CLOSED,2017-08-31 00:00:00,N,SEWER ODOR,LG-15,1,2,13080178.600000,448626.260000
-84.54925351,42.76686518,85,112792,SEWER,SEW-WTR IN BSMNT,2017-08-28 00:00:00,CLOSED,2017-08-28 00:00:00,N,SEW-WTR IN BSMNT,LG-04,1,2,13074334.970000,461729.630000
-84.55070706,42.69066480,86,112798,SEWER,SEW-WTR IN BSMNT,2017-08-28 00:00:00,CLOSED,2017-09-01 00:00:00,N,SEW-WTR IN BSMNT,LG-33,2,2,13073883.980000,433961.030000
-84.55503524,42.74332156,87,112799,SEWER,SEW-WTR IN BSMNT,2017-08-28 00:00:00,CLOSED,2017-09-01 00:00:00,N,SEW-WTR IN BSMNT,LG-09,4,2,13072763.340000,453153.100000
-84.55741486,42.73677751,88,112809,SEWER,CAVE IN,2017-08-29 00:00:00,CLOSED,2017-10-06 00:00:00,N,CAVE IN,LG-16,4,2,13072118.750000,450769.710000
-84.56983818,42.66293926,89,112811,SEWER,OVERFLOW,2017-08-29 00:00:00,CLOSED,2017-09-01 00:00:00,N,OVERFLOW,DI-08,3,2,13068716.450000,423869.000000
-84.50677153,42.73961806,90,112814,SEWER,CB-MH COVER,2017-08-29 00:00:00,CLOSED,2017-09-01 00:00:00,N,CB-MH COVER,LG-14,1,2,13085725.160000,451778.150000
-84.54668057,42.70959713,91,112841,SEWER,CAVE IN,2017-08-30 00:00:00,CLOSED,2017-09-07 00:00:00,N,CAVE IN,LG-28,1,2,13074981.200000,440858.110000
-84.61010744,42.68076979,92,112847,SEWER,CB-MH COVER,2017-08-31 00:00:00,CLOSED,2017-09-01 00:00:00,N,CB-MH COVER,WR-01,3,2,13057904.560000,430395.590000
-84.56056932,42.65685955,93,112858,SEWER,SEWER PROBLEM,2017-09-01 00:00:00,CLOSED,2017-09-01 00:00:00,N,SEWER PROBLEM,DI-09,2,2,13071204.270000,421647.530000
-84.54008298,42.70908295,94,112859,SEWER,CAVE IN,2017-09-01 00:00:00,CLOSED,2017-09-08 00:00:00,N,CAVE IN,LG-27,1,2,13076753.950000,440667.010000
-84.56695387,42.73757677,95,112874,SEWER,SEW-WTR IN BSMNT,2017-09-05 00:00:00,CLOSED,2017-09-07 00:00:00,N,SEW-WTR IN BSMNT,LG-17,4,2,13069556.910000,451066.930000
-84.57068355,42.76108138,96,112875,SEWER,CAVE IN,2017-09-05 00:00:00,CLOSED,2017-09-07 00:00:00,N,CAVE IN,LG-05,4,2,13068575.750000,459635.060000
-84.54909272,42.72967882,97,112893,SEWER,SEWER ODOR,2017-09-06 00:00:00,CLOSED,2017-09-07 00:00:00,N,SEWER ODOR,LG-16,4,2,13074348.780000,448177.800000
-84.57277576,42.73864619,98,112894,SEWER,CB-MH COVER,2017-09-06 00:00:00,CLOSED,2017-09-07 00:00:00,N,CB-MH COVER,LG-17,4,2,13067993.910000,451460.430000
-84.54600155,42.69996097,99,112910,SEWER,SEW-WTR IN BSMNT,2017-09-07 00:00:00,CLOSED,2017-09-08 00:00:00,N,SEW-WTR IN BSMNT,LG-28,2,2,13075156.210000,437346.060000
-84.55112744,42.68993174,100,112921,SEWER,SEW-WTR IN BSMNT,2017-09-08 00:00:00,CLOSED,2017-09-08 00:00:00,N,SEW-WTR IN BSMNT,LG-33,2,2,13073770.380000,433694.130000
-84.59823359,42.74944826,101,112930,SEWER,SEW-WTR IN BSMNT,2017-09-08 00:00:00,CLOSED,2017-09-11 00:00:00,N,SEW-WTR IN BSMNT,LG-07, ,2,13061166.030000,455414.770000
-84.56728300,42.75273738,102,112939,SEWER,CAVE IN,2017-09-11 00:00:00,CLOSED,2017-09-11 00:00:00,N,CAVE IN,LG-08,4,2,13069481.660000,456592.080000
-84.53080168,42.73254088,103,112943,SEWER,SEW-WTR IN BSMNT,2017-09-11 00:00:00,CLOSED,2017-09-11 00:00:00,N,SEW-WTR IN BSMNT,LG-15,1,2,13079265.030000,449210.700000
-84.59309407,42.68471636,104,112947,SEWER,CAVE IN,2017-09-11 00:00:00,CLOSED,2017-09-18 00:00:00,N,CAVE IN,LG-31,3,2,13062482.970000,431821.050000
-84.52826215,42.72006180,105,112955,SEWER,CB-MH COVER,2017-09-12 00:00:00,CLOSED,2017-09-12 00:00:00,N,CB-MH COVER,LG-22,1,2,13079938.560000,444661.670000
-84.51604121,42.73066060,106,112959,SEWER,DRAINAGE PROBLEM,2017-09-12 00:00:00,CLOSED,2017-09-13 00:00:00,N,DRAINAGE PROBLEM,LG-14,1,2,13083229.300000,448518.090000
-84.53080168,42.73254088,107,112971,SEWER,SEW-WTR IN BSMNT,2017-09-13 00:00:00,CLOSED,2017-09-13 00:00:00,N,SEW-WTR IN BSMNT,LG-15,1,2,13079265.030000,449210.700000
-84.53850287,42.71136290,108,112974,SEWER,DRAINAGE PROBLEM,2017-09-13 00:00:00,CLOSED,2017-09-13 00:00:00,N,DRAINAGE PROBLEM,LG-27,1,2,13077180.310000,441497.010000
-84.58361908,42.68093952,109,112985,SEWER,SEWER ODOR,2017-09-13 00:00:00,CLOSED,2017-09-14 00:00:00,N,SEWER ODOR,DI-06,3,2,13065026.890000,430437.970000
-84.56996689,42.71202680,110,112993,SEWER,CAVE IN,2017-09-13 00:00:00,CLOSED,2017-09-18 00:00:00,N,CAVE IN,LG-29,4,2,13068725.030000,441757.790000
-84.52167058,42.72797547,111,113013,SEWER,SEW-WTR IN BSMNT,2017-09-15 00:00:00,CLOSED,2017-09-18 00:00:00,N,SEW-WTR IN BSMNT,LG-14,1,2,13081715.090000,447542.290000
-84.54021345,42.71721124,112,113030,SEWER,SEWER ODOR,2017-09-18 00:00:00,CLOSED,2017-09-18 00:00:00,N,SEWER ODOR,LG-22,1,2,13076724.990000,443629.240000
-84.54968681,42.69648146,113,113031,SEWER,CB-MH COVER,2017-09-18 00:00:00,CLOSED,2017-09-18 00:00:00,N,CB-MH COVER,LG-33,2,2,13074162.870000,436080.170000
-84.57884658,42.74460077,114,113035,SEWER,DRAINAGE PROBLEM,2017-09-18 00:00:00,CLOSED,2017-09-18 00:00:00,N,DRAINAGE PROBLEM,LG-08,4,2,13066368.580000,453634.490000
-84.56555200,42.68403600,115,113061,SEWER,CB-MH COVER,2017-09-19 00:00:00,CLOSED,2017-10-04 00:00:00,N,CB-MH COVER,LG-32,2,2,13069887.409000,431554.407000
-84.51081266,42.75240791,116,113077,SEWER,CB-MH COVER,2017-09-20 00:00:00,CLOSED,2017-09-21 00:00:00,N,CB-MH COVER,LG-11,1,2,13084647.590000,456440.960000
-84.57191641,42.74709241,117,113092,SEWER,SEW-WTR IN BSMNT,2017-09-21 00:00:00,CLOSED,2017-09-22 00:00:00,N,SEW-WTR IN BSMNT,LG-08,4,2,13068232.260000,454537.900000
-84.60685393,42.69451232,118,113093,SEWER,SEW-WTR IN BSMNT,2017-09-22 00:00:00,CLOSED,2017-09-22 00:00:00,N,SEW-WTR IN BSMNT,DA-36,3,2,13058793.650000,435401.188000
-84.54961364,42.69632116,119,113096,SEWER,WATER ON ROAD,2017-09-22 00:00:00,CLOSED,2017-09-22 00:00:00,N,WATER ON ROAD,LG-33,2,2,13074182.410000,436021.710000
-84.60267143,42.69816553,120,113097,SEWER,DRAINAGE PROBLEM,2017-09-22 00:00:00,CLOSED,2017-09-22 00:00:00,N,DRAINAGE PROBLEM,LG-30,3,2,13059921.720000,436729.330000
-84.53696028,42.72291098,121,113107,SEWER,PLUGGED CB-CLVRT,2017-09-22 00:00:00,CLOSED,2017-09-22 00:00:00,N,PLUGGED CB-CLVRT,LG-22,1,2,13077603.390000,445704.590000
-84.54372222,42.72227895,122,113141,SEWER,SEWER ODOR,2017-09-26 00:00:00,CLOSED,2017-10-04 00:00:00,N,SEWER ODOR,LG-21,1,2,13075785.990000,445478.010000
-84.56867292,42.70631207,123,113142,SEWER,CB-MH COVER,2017-09-26 00:00:00,CLOSED,2017-10-04 00:00:00,N,CB-MH COVER,LG-29,4,2,13069067.780000,439674.360000
-84.56715849,42.73368940,124,113143,SEWER,CAVE IN,2017-09-26 00:00:00,CLOSED,2017-10-04 00:00:00,N,CAVE IN,LG-17,4,2,13069498.570000,449650.400000
-84.58919867,42.75905432,125,113148,SEWER,SEW-WTR IN BSMNT,2017-09-26 00:00:00,CLOSED,2017-09-27 00:00:00,N,SEW-WTR IN BSMNT,LG-06,4,2,13063601.900000,458908.940000
-84.55415510,42.68599460,126,113169,SEWER,CAVE IN,2017-09-28 00:00:00,CLOSED,2017-09-28 00:00:00,N,CAVE IN,LG-33,2,2,13072953.230000,432261.140000
-84.54877843,42.68257418,127,113173,SEWER,DRAINAGE PROBLEM,2017-09-29 00:00:00,CLOSED,2017-10-04 00:00:00,N,DRAINAGE PROBLEM,DI-04,2,2,13074396.090000,431011.480000
-84.55028501,42.68993249,128,113187,SEWER,SEW-WTR IN BSMNT,2017-10-02 00:00:00,CLOSED,2017-10-04 00:00:00,N,SEW-WTR IN BSMNT,LG-33,2,2,13073996.860000,433693.910000
-84.56169794,42.72731625,129,113189,SEWER,DRAINAGE PROBLEM,2017-10-02 00:00:00,CLOSED,2017-10-04 00:00:00,N,DRAINAGE PROBLEM,LG-16,4,2,13070960.170000,447324.410000
-84.51528342,42.74841371,130,113190,SEWER,WATER ON ROAD,2017-10-02 00:00:00,CLOSED,2017-10-04 00:00:00,N,WATER ON ROAD,LG-11, ,2,13083444.310000,454987.450000
-84.55655086,42.70068689,131,113191,SEWER,SEW-WTR IN BSMNT,2017-10-02 00:00:00,CLOSED,2017-10-02 00:00:00,N,SEW-WTR IN BSMNT,LG-28,2,2,13072321.190000,437616.820000
-84.54069527,42.76619184,132,113192,SEWER,SEW-WTR IN BSMNT,2017-10-02 00:00:00,CLOSED,2017-10-02 00:00:00,N,SEW-WTR IN BSMNT,LG-03,1,2,13076632.410000,461479.380000
